"",2019,2019 Adjusted,2020,2020 Adjusted,2021,2021 Adjusted
Insurance,"($24,135.00)","($24,135.00)","($21,693.00)","($21,693.00)","($16,787.00)","($16,787.00)"
Meals,"($5,646.00)","($5,646.00)",($801.00),($801.00),"($2,619.00)","($2,619.00)"
Miscellaneous,$0.00,$0.00,$0.00,$0.00,"($4,231.00)","($4,231.00)"
Office expense,"($20,374.00)","($20,374.00)","($6,028.00)","($6,028.00)","($4,119.00)","($4,119.00)"
Professional Fees,"($54,726.00)","($54,726.00)","($44,208.00)","($44,208.00)","($57,351.00)","($57,351.00)"
Security,"($5,228.00)","($5,228.00)","($3,881.00)","($3,881.00)","($4,662.00)","($4,662.00)"
Telephone,"($14,907.00)","($14,907.00)","($15,238.00)","($15,238.00)","($17,752.00)","($17,752.00)"
Travel,"($25,269.00)","($25,269.00)","($9,946.00)","($9,946.00)","($20,244.00)","($20,244.00)"
Utilities,"($18,277.00)","($18,277.00)","($15,269.00)","($15,269.00)","($15,194.00)","($15,194.00)"
Total Expenses,"($1,134,935.00)","($746,605.00)","($857,074.00)","($569,213.00)","($965,410.00)","($647,628.00)"
Adjusted Cash Flow,"$503,560.00","$950,375.00","($221,469.00)","$182,566.00","$981,738.00","$605,980.00"
COGS/Gross Revenues,81.46%,80.80%,88.04%,85.78%,72.99%,82.61%
Rent/Gross Revenues,3.77%,3.77%,6.67%,6.67%,5.30%,5.30%
Total Expenses/Gross Revenues,12.84%,8.45%,16.68%,11.08%,13.39%,8.99%
Cash Flow/Gross Revenues,5.70%,10.75%,-4.31%,3.55%,13.62%,8.41%
